streak count,day,date,,type
12,Wednesday,15.06.2022,,
11,Tuesday,14.06.2022,,
10,Monday,13.06.2022,,
9,Sunday,12.06.2022,,swimming
8,Saturday,11.06.2022,,
7,Friday,10.06.2022,,
6,Thursday,09.06.2022,,football
5,Wednesday,08.06.2022,,football
4,Tuesday,07.06.2022,,
3,Monday,06.06.2022,,
2,Sunday,05.06.2022,,
1,Saturday,01.06.2022,,
,Thursday,02.06.2022,,football
,,,,
,Sunday,25.07.2021,,running
,Wednesday,28.07.2021,,running
,Thursday,29.07.2021,,football
,,,,
,Saturday,,,swimming
,Tuesday,03.08.2021,,biking
,Wednesday,04.08.2021,,biking
,Friday,06.08.2021,,
,Saturday,07.08.2021,,
,Saturday,07.08.2021,,
,Sunday,,,
,Monday,,,
,Tuesday,,,football
,Wednesday,11.08.2021,,
,Thursday,12.08.2021,,football
,Friday,13.08.2021,,
,Saturday,14.08.2021,,swimming
,Sunday,15.08.2021,,swimming
,Monday,16.08.2021,,football
,Tuesday,17.08.2021,,football
,Wednesday,18.08.2021,,
,Thursday,19.08.2021,,football
,Tuesday,24.08.2021,,football
,Thursday,26.08.2021,,football
